year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2017,3,16,34.0,Walton,Jim,Jim Walton,1948-06-07,68.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2017,3,17,33.8,Walton,Alice,Alice Walton,1949-10-07,67.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2017,3,18,31.3,Wang,Jianlin,Wang Jianlin,1954-10-01,62.0,Male,China,China,Beijing,Real Estate,['Real Estate'],Dalian Wanda Group,Chairman,True,Increased
2017,3,19,31.2,Li,Ka-shing,Li Ka-shing,1928-06-13,88.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2017,3,20,30.4,Adelson,Sheldon,Sheldon Adelson,1933-08-04,83.0,Male,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],Las Vegas Sands,Chairman and CEO,True,Increased
2016,3,1,75.0,Gates,Bill,Bill Gates,1955-10-28,60.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Decreased
2016,3,2,67.0,Ortega,Amancio,Amancio Ortega,1936-03-28,79.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2016,3,3,60.8,Buffett,Warren,Warren Buffett,1930-08-30,85.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Decreased
2016,3,4,50.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,76.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Decreased
2016,3,5,45.2,Bezos,Jeff,Jeff Bezos,1964-01-12,52.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2016,3,6,44.6,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,31.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2016,3,7,43.6,Ellison,Larry,Larry Ellison,1944-08-17,71.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Decreased
2016,3,8,40.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,74.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2016,3,9,39.6,Koch,Charles,Charles Koch,1935-11-01,80.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Decreased
2016,3,9,39.6,Koch,David,David Koch,1940-05-03,75.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Decreased
2016,3,11,36.1,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,93.0,Female,France,,,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2016,3,12,35.2,Page,Larry,Larry Page,1973-03-26,42.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2016,3,13,34.4,Brin,Sergey,Sergey Brin,1973-08-21,42.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Increased
2016,3,14,34.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,66.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Decreased
2016,3,15,33.6,Walton,Jim,Jim Walton,1948-06-07,67.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Decreased
2016,3,16,32.3,Walton,Alice,Alice Walton,1949-10-07,66.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Decreased
2016,3,17,31.9,Walton,S. Robson,S. Robson Walton,1944-10-27,71.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Decreased
2016,3,18,28.7,Wang,Jianlin,Wang Jianlin,1954-10-01,61.0,Male,China,China,Beijing,Real Estate,['Real Estate'],Dalian Wanda Group,Chairman,True,Increased
2016,3,19,27.8,Lemann,Jorge Paulo,Jorge Paulo Lemann,1939-08-26,76.0,Male,Brazil,Switzerland,zurich,Food and Beverage,['Food and Beverage'],,"Investor, Philanthropist",True,Increased
2016,3,20,27.1,Li,Ka-shing,Li Ka-shing,1928-06-13,87.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Decreased
2002,3,1,52.8,Gates,William,Bill Gates,1955-10-28,46.0,Male,United States,United States,Medina,,['Technology'],,,False,Decreased
2002,3,2,35.0,,,Warren Buffett,,71.0,,United States,United States,Omaha,,['Investments'],,,,
2002,3,4,25.2,Allen,Paul,Paul Allen,1953-01-21,49.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Decreased
2002,3,5,23.5,,,Lawrence Ellison,,57.0,,United States,United States,Atherton,,['Software'],,,,
2002,3,6,20.8,,,Jim Walton,,54.0,,United States,United States,Bentonville,,['Retail'],,,,
2002,3,8,20.5,,,Alice Walton,,53.0,,United States,United States,Fort Worth,,['Retail'],,,,
2002,3,8,20.5,,,S. Robson Walton,,58.0,,United States,United States,Bentonville,,['Retail'],,,,
2002,3,11,20.0,,,Prince Alwaleed Bin Talal Alsaud,,45.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2002,3,12,18.4,,,Johanna Quandt,,74.0,,Germany,Germany,Bad Homburg,,['Manufacturing'],,,,
2002,3,13,14.9,,,Liliane Bettencourt,,79.0,,France,France,Paris,,['Manufacturing'],,,,
2002,3,15,14.8,Ballmer,Steven,Steve Ballmer,1956-03-24,45.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,Decreased
2002,3,16,13.4,,,Ingvar Kamprad & family,,75.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2002,3,17,11.5,,,Carlos Slim Helu & family,,62.0,,Mexico,Mexico,Mexico City,,,,,,
2002,3,18,11.1,,,Michael Dell,,37.0,,United States,United States,Austin,,,,,,
2002,3,19,10.7,,,Birgit Rausing & family,,49.0,,Sweden,United Kingdom,Suffolk,,['Manufacturing'],,,,
2002,3,21,10.1,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,82.0,Female,United States,United States,Atlanta,,['Media'],,,False,Decreased
2002,3,23,10.0,,,Ka-shing Li,,73.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2002,3,24,9.2,,,Kwok family,,0.0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2002,3,25,9.1,,,Amancio Ortega,,66.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2002,3,26,9.0,,,Forrest Mars,,70.0,,United States,United States,McLean,,['Food'],,,,
2014,3,1,76.0,Gates,Bill,Bill Gates,1955-10-28,58.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2014,3,2,72.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,74.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Decreased
2014,3,3,64.0,Ortega,Amancio,Amancio Ortega,1936-03-28,77.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2014,3,4,58.2,Buffett,Warren,Warren Buffett,1930-08-30,83.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2014,3,5,48.0,Ellison,Larry,Larry Ellison,1944-08-17,69.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2014,3,6,40.0,Koch,Charles,Charles Koch,1935-11-01,78.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2014,3,6,40.0,Koch,David,David Koch,1940-05-03,73.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2014,3,8,38.0,Adelson,Sheldon,Sheldon Adelson,1933-08-04,80.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2014,3,9,36.7,Walton,Christy,Christy Walton & family,1955-01-01,59.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2014,3,10,34.7,Walton,Jim,Jim Walton,1948-01-01,66.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2014,3,11,34.5,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,91.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,12,34.4,Persson,Stefan,Stefan Persson,1947-10-04,66.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2014,3,13,34.3,Walton,Alice,Alice Walton,1949-10-07,64.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2014,3,14,34.2,Walton,S. Robson,S. Robson Walton,1944-01-01,70.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2014,3,15,33.5,Arnault,Bernard,Bernard Arnault & family,1949-03-05,64.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2014,3,16,33.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,72.0,Male,United States,United States,New York,Finance,['Finance'],United States,"Mayor, New York City",True,Increased
2014,3,17,32.3,Page,Larry,Larry Page,1973-03-26,40.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2014,3,18,32.0,Bezos,Jeff,Jeff Bezos,1964-01-12,50.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,CEO,True,Increased
2014,3,19,31.8,Brin,Sergey,Sergey Brin,1973-08-21,40.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Increased
2014,3,20,31.0,Li,Ka-shing,Li Ka-shing,1928-06-13,85.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Remained Even
2001,7,1,58.7,Gates,William,Bill Gates,1955-10-28,45.0,Male,United States,United States,Medina,,['Technology'],,,False,
2001,7,2,32.3,,,Warren Buffett,,70.0,,United States,United States,Omaha,,['Finance'],,,,
2001,7,3,30.4,Allen,Paul,Paul Allen,1953-01-21,48.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,
2001,7,4,26.0,,,Lawrence Ellison,,56.0,,United States,United States,Atherton,,['Software'],,,,
2001,6,5,5.6,Henkel,,Christoph Henkel,1958-02-11,,,Germany,United Kingdom,London,Fashion & Retail,['Fashion & Retail'],,,False,
2001,7,6,20.0,,,Prince Alwaleed Bin Talal Alsaud,,44.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2001,7,7,18.8,,,Jim Walton,,53.0,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,8,4.7,,,David Sainsbury,,60.0,,United Kingdom,United Kingdom,London,,['Retail'],,,,
2001,7,9,18.6,,,S. Robson Walton,,57.0,,United States,United States,Bentonville,,['Retail'],,,,
2001,7,10,18.5,,,Alice Walton,,52.0,,United States,United States,Fort Worth,,['Retail'],,,,
2001,7,12,17.8,,,Johanna Quandt,,74.0,,Germany,Germany,Bad Homburg,,,,,,
2001,7,13,16.6,Ballmer,Steven,Steve Ballmer,1956-03-24,45.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,
2001,7,13,3.4,,,Michael Kadoorie & family,,60.0,,Hong Kong,China,Hong Kong,,,,,,
2001,7,15,15.6,,,Liliane Bettencourt,,75.0,,France,France,Paris,,['Pharmaceuticals'],,,,
2001,7,16,15.3,,,Philip Anschutz,,61.0,,United States,United States,Denver,,,,,,
2001,7,17,13.0,,,Ingvar Kamprad & family,,75.0,,Sweden,Sweden,"Lausanne, Switz",,['Retail'],,,,
2001,7,18,12.6,,,Ka-shing Li,,73.0,,Hong Kong,Hong Kong,Chaozhou,,,,,,
2001,7,18,12.6,,,Sumner Redstone,,78.0,,United States,United States,Newton Centre,,['Media'],,,,
2001,7,21,11.7,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,81.0,Female,United States,United States,Atlanta,,['Media'],,,False,
2001,7,23,11.5,,,Kwok family,,0.0,,Hong Kong,Hong Kong,,,['Real Estate'],,,,
2015,3,1,79.2,Gates,Bill,Bill Gates,1955-10-28,59.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2015,3,2,77.1,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,75.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Increased
2015,3,3,72.7,Buffett,Warren,Warren Buffett,1930-08-30,84.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2015,3,4,64.5,Ortega,Amancio,Amancio Ortega,1936-03-28,78.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2015,3,5,54.3,Ellison,Larry,Larry Ellison,1944-08-17,70.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2015,3,6,42.9,Koch,Charles,Charles Koch,1935-11-01,79.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2015,3,6,42.9,Koch,David,David Koch,1940-05-03,74.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2015,3,8,41.7,Walton,Christy,Christy Walton & family,1955-01-01,60.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2015,3,9,40.6,Walton,Jim,Jim Walton,1948-01-01,67.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2015,3,10,40.1,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,92.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2015,3,11,39.4,Walton,Alice,Alice Walton,1949-10-07,65.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2015,3,12,39.1,Walton,S. Robson,S. Robson Walton,1944-10-27,70.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2015,3,13,37.2,Arnault,Bernard,Bernard Arnault & family,1949-03-05,65.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2015,3,14,35.5,Bloomberg,Michael,Michael Bloomberg,1942-02-14,73.0,Male,United States,United States,New York,Media,['Media'],Bloomberg,CEO,True,Increased
2015,3,15,34.8,Bezos,Jeff,Jeff Bezos,1964-01-12,51.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2015,3,16,33.4,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,30.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2015,3,17,33.3,Li,Ka-shing,Li Ka-shing,1928-06-13,86.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2015,3,18,31.4,Adelson,Sheldon,Sheldon Adelson,1933-08-04,81.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Decreased
2015,3,19,29.7,Page,Larry,Larry Page,1973-03-26,41.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Decreased
2015,3,20,29.2,Brin,Sergey,Sergey Brin,1973-08-21,41.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Decreased
2018,3,1,112.0,Bezos,Jeff,Jeff Bezos,1964-01-12,54.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2018,3,2,90.0,Gates,Bill,Bill Gates,1955-10-28,62.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2018,3,3,84.0,Buffett,Warren,Warren Buffett,1930-08-30,87.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Increased
2018,3,4,72.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,69.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2018,3,5,71.0,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,33.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2018,3,6,70.0,Ortega,Amancio,Amancio Ortega,1936-03-28,81.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2018,3,7,67.1,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,78.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Increased
2018,3,8,60.0,Koch,Charles,Charles Koch,1935-11-01,82.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2018,3,8,60.0,Koch,David,David Koch,1940-05-03,77.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2018,3,10,58.5,Ellison,Larry,Larry Ellison,1944-08-17,73.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,True,Increased
2018,3,11,50.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,76.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2018,3,12,48.8,Page,Larry,Larry Page,1973-03-26,44.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Entrepreneur,True,Increased
2018,3,13,47.5,Brin,Sergey,Sergey Brin,1973-08-21,44.0,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,President,True,Increased
2018,3,14,46.4,Walton,Jim,Jim Walton,1948-06-07,69.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2018,3,15,46.2,Walton,Rob,Rob Walton,1944-10-27,73.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2018,3,16,46.0,Walton,Alice,Alice Walton,1949-10-07,68.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2018,3,17,45.3,Ma,Huateng,Ma Huateng,1971-10-01,46.0,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Increased
2018,3,18,42.2,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,1953-07-10,64.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,
2018,3,19,40.1,Ambani,Mukesh,Mukesh Ambani,1957-04-19,60.0,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Founder and Chairman,False,Increased
2018,3,20,39.0,Ma,Jack,Jack Ma,1964-09-10,53.0,Male,China,China,Hangzhou,Technology,['Technology'],Alibaba Group,Founder and Executive Chairman,True,Increased
2019,3,1,131.0,Bezos,Jeff,Jeff Bezos,1964-01-12,55.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2019,3,2,96.5,Gates,Bill,Bill Gates,1955-10-28,63.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2019,3,3,82.5,Buffett,Warren,Warren Buffett,1930-08-30,88.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Decreased
2019,3,4,76.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,70.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2019,3,5,64.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,79.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Decreased
2019,3,6,62.7,Ortega,Amancio,Amancio Ortega,1936-03-28,82.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2019,3,7,62.5,Ellison,Larry,Larry Ellison,1944-08-17,74.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,True,Increased
2019,3,8,62.3,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,34.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Decreased
2019,3,9,55.5,Bloomberg,Michael,Michael Bloomberg,1942-02-14,77.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2019,3,10,50.8,Page,Larry,Larry Page,1973-03-26,45.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2019,3,11,50.5,Koch,Charles,Charles Koch,1935-11-01,83.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Decreased
2019,3,11,50.5,Koch,David,David Koch,1940-05-03,78.0,Male,United States,,,Diversified,['Diversified'],Koch Industries,Director Emeritus,False,Decreased
2019,3,13,50.0,Ambani,Mukesh,Mukesh Ambani,1957-04-19,61.0,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Founder and Chairman,False,Increased
2019,3,14,49.8,Brin,Sergey,Sergey Brin,1973-08-21,45.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,President,True,Increased
2019,3,15,49.3,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,1953-07-10,65.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2019,3,16,44.6,Walton,Jim,Jim Walton,1948-06-07,70.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Decreased
2019,3,17,44.4,Walton,Alice,Alice Walton,1949-10-07,69.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Decreased
2019,3,18,44.3,Walton,Rob,Rob Walton,1944-10-27,74.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,False,Decreased
2019,3,19,41.2,Ballmer,Steve,Steve Ballmer,1956-03-24,62.0,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,True,Increased
2019,3,20,38.8,Ma,Huateng,Ma Huateng,1971-10-29,47.0,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Decreased
2022,4,1,219.0,Musk,Elon,Elon Musk,1971-06-28,50.0,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,True,Increased
2022,4,2,171.0,Bezos,Jeff,Jeff Bezos,1964-01-12,58.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon,Chairman and Founder,True,Decreased
2022,4,3,158.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,73.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2022,4,4,129.0,Gates,Bill,Bill Gates,1955-10-28,66.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2022,4,5,118.0,Buffett,Warren,Warren Buffett,1930-08-30,91.0,Male,United States,United States,Omaha,Finance & Investments,['Finance & Investments'],Berkshire Hathaway Inc. (Cl A),CEO,True,Increased
2022,4,6,111.0,Page,Larry,Larry Page,1973-03-26,49.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Alphabet,Cofounder and board member,True,Increased
2022,4,7,107.0,Brin,Sergey,Sergey Brin,1973-08-21,48.0,Male,United States,United States,Los Altos,Technology,['Technology'],Alphabet,Cofounder and board member,True,Increased
2022,4,8,106.0,Ellison,Larry,Larry Ellison,1944-08-17,77.0,Male,United States,United States,Lanai,Technology,['Technology'],Oracle,CTO and Founder,True,Increased
2022,4,9,91.4,Ballmer,Steve,Steve Ballmer,1956-03-24,66.0,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,True,Increased
2022,4,10,90.7,Ambani,Mukesh,Mukesh Ambani,1957-04-19,64.0,Male,India,India,Mumbai,Diversified,['Diversified'],Reliance Industries Ltd.,Founder and Chairman,False,Increased
2022,4,11,90.0,Adani,Gautam,Gautam Adani,1962-06-24,59.0,Male,India,India,Ahmedabad,Diversified,['Diversified'],,,True,Increased
2022,4,12,82.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,80.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg L.P.,CEO,True,Increased
2022,4,13,81.2,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,82.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],America Movil SAB de CV (ADR),Honorary Chairman,True,Increased
2022,4,14,74.8,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,1953-07-10,68.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2022,4,15,67.3,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,37.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Cofounder,True,Decreased
2022,4,16,66.2,Walton,Jim,Jim Walton,1948-06-07,73.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2022,4,17,65.7,Zhong,Shanshan,Zhong Shanshan,1954-12-01,67.0,Male,China,China,Hangzhou,Food & Beverage,['Food & Beverage'],,,True,Decreased
2022,4,18,65.3,Walton,Alice,Alice Walton,1949-10-07,72.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2022,4,19,65.0,Walton,Rob,Rob Walton,1944-10-27,77.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,False,Increased
2022,4,19,65.0,Zhao,Changpeng,Changpeng Zhao,1977-09-10,44.0,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,['Finance & Investments'],,,True,Increased
2023,4,1,211.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,74.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moët Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2023,4,2,180.0,Musk,Elon,Elon Musk,1971-06-28,51.0,Male,United States,United States,Austin,Automotive,['Automotive'],Tesla,CEO,True,Decreased
